Token	Light	Dark
blue.0	#FFFFFF	#000000
blue.10	#FCFDFF	#000000
blue.20	#F9FCFF	#000000
blue.25	#F7FBFF	#000000
blue.30	#F6FAFF	#000001
blue.40	#F3F9FF	#000002
blue.50	#F0F7FF	#000103
blue.60	#EDF5FF	#000206
blue.70	#EAF4FF	#000309
blue.75	#E8F3FF	#00030B
blue.80	#E6F2FF	#00040D
blue.90	#E3F1FF	#000512
blue.100	#E0EFFF	#000716
blue.110	#DBEDFF	#000A1B
blue.120	#D7EAFF	#000D1F
blue.125	#D4E9FF	#000E22
blue.130	#D2E8FF	#000F24
blue.140	#CDE6FF	#001229
blue.150	#C9E3FF	#00152E
blue.160	#C4E1FF	#001833
blue.170	#BFDFFF	#001B38
blue.175	#BDDDFF	#001D3A
blue.180	#BBDCFF	#001E3D
blue.190	#B6DAFF	#002142
blue.200	#B1D7FF	#002548
blue.225	#A6D1FF	#002D55
blue.250	#9ACBFF	#003563
blue.275	#8EC5FF	#003D71
blue.300	#83BFFF	#004680
blue.325	#77B8FF	#004F8F
blue.350	#6BB2FF	#00589E
blue.375	#5EABFF	#0061AE
blue.400	#51A4FF	#006ABE
blue.425	#449EFF	#0074CE
blue.450	#3597FF	#007DDE
blue.475	#228FFF	#0087EE
blue.500	#0088FF	#0091FF
blue.525	#0485FE	#1596FF
blue.550	#0982FC	#239BFF
blue.575	#0E7EFB	#2EA0FF
blue.600	#127BFA	#38A5FF
blue.625	#1578F8	#41AAFF
blue.650	#1875F7	#4AAFFF
blue.675	#1B71F5	#53B3FF
blue.700	#1E6EF4	#5CB8FF
blue.725	#1961D9	#6CBEFF
blue.750	#1555BF	#7BC4FF
blue.775	#1149A6	#89CBFF
blue.800	#0C3D8D	#97D1FF
blue.810	#0B3884	#9CD3FF
blue.820	#09337A	#A2D5FF
blue.825	#083176	#A5D7FF
blue.830	#082F71	#A7D8FF
blue.840	#062B68	#ACDAFF
blue.850	#05265E	#B2DDFF
blue.860	#042255	#B7DFFF
blue.870	#031E4D	#BCE1FF
blue.875	#031B48	#BFE2FF
blue.880	#031944	#C1E4FF
blue.890	#02153C	#C7E6FF
blue.900	#021133	#CCE8FF
blue.910	#010E2B	#D1EBFF
blue.920	#010A23	#D6EDFF
blue.925	#010820	#D9EEFF
blue.930	#01071C	#DBEFFF
blue.940	#000414	#E0F1FF
blue.950	#00020D	#E5F4FF
blue.960	#000107	#EBF6FF
blue.970	#000103	#F0F8FF
blue.975	#000002	#F2F9FF
blue.980	#000001	#F5FAFF
blue.990	#000000	#FAFDFF
blue.1000	#000000	#FFFFFF
