Token	Light	Dark
cyan.0	#FFFFFF	#000000
cyan.10	#FCFEFF	#000000
cyan.20	#FAFDFF	#000000
cyan.25	#F9FDFF	#000000
cyan.30	#F7FCFE	#000001
cyan.40	#F5FBFE	#000102
cyan.50	#F2FAFE	#000203
cyan.60	#EEF9FE	#000406
cyan.70	#EAF7FD	#000609
cyan.75	#E8F6FD	#01070B
cyan.80	#E6F6FD	#01090D
cyan.90	#E1F4FD	#010C11
cyan.100	#DDF3FC	#011016
cyan.110	#D9F2FC	#02141A
cyan.120	#D6F1FB	#02181F
cyan.125	#D4F0FB	#021A21
cyan.130	#D2EFFB	#031C24
cyan.140	#CFEEFB	#032029
cyan.150	#CBEDFA	#04242D
cyan.160	#C7ECFA	#052832
cyan.170	#C3EAF9	#062C38
cyan.175	#C2EAF9	#062F3A
cyan.180	#C0E9F9	#07313D
cyan.190	#BCE8F9	#083542
cyan.200	#B8E7F8	#0A3A47
cyan.225	#AFE3F7	#0D4555
cyan.250	#A5E0F6	#115163
cyan.275	#9BDDF5	#155D71
cyan.300	#91DAF4	#196980
cyan.325	#86D7F2	#1D758E
cyan.350	#7BD4F1	#21829E
cyan.375	#6FD0F0	#268FAD
cyan.400	#62CDEE	#2A9CBD
cyan.425	#54CAED	#2EAACD
cyan.450	#43C7EB	#33B7DD
cyan.475	#2EC3EA	#37C5ED
cyan.500	#00C0E8	#3CD3FE
cyan.525	#00B7E1	#44D4FE
cyan.550	#00AFDA	#4BD5FE
cyan.575	#00A7D3	#52D5FE
cyan.600	#009ECC	#58D6FF
cyan.625	#0096C4	#5ED7FF
cyan.650	#008EBD	#63D8FF
cyan.675	#0086B5	#68D8FF
cyan.700	#007EAE	#6DD9FF
cyan.725	#00709B	#7CDCFF
cyan.750	#006188	#8AE0FF
cyan.775	#005475	#97E3FF
cyan.800	#004663	#A4E6FF
cyan.810	#00415C	#A9E8FF
cyan.820	#003C55	#AEE9FF
cyan.825	#003952	#B0EAFF
cyan.830	#00374E	#B3EAFF
cyan.840	#003248	#B7ECFF
cyan.850	#002D41	#BCEDFF
cyan.860	#00283A	#C1EEFF
cyan.870	#002334	#C5EFFF
cyan.875	#002131	#C8F0FF
cyan.880	#001F2E	#CAF1FF
cyan.890	#001A28	#CFF2FF
cyan.900	#001522	#D3F3FF
cyan.910	#00111C	#D8F4FF
cyan.920	#000D16	#DCF5FF
cyan.925	#000B13	#DEF6FF
cyan.930	#000910	#E0F7FF
cyan.940	#00050B	#E5F8FF
cyan.950	#000306	#E9F9FF
cyan.960	#000203	#EEFAFF
cyan.970	#000101	#F2FBFF
cyan.975	#000001	#F4FCFF
cyan.980	#000000	#F6FDFF
cyan.990	#000000	#FBFEFF
cyan.1000	#000000	#FFFFFF
