Token	Light	Dark
green.0	#FFFFFF	#000000
green.10	#FEFFFE	#000000
green.20	#FDFFFD	#000000
green.25	#FDFFFD	#000000
green.30	#FDFEFD	#000000
green.40	#FCFEFC	#000100
green.50	#FBFEFB	#000200
green.60	#F9FDF9	#000401
green.70	#F8FDF8	#000601
green.75	#F7FCF7	#000701
green.80	#F6FCF7	#000901
green.90	#F4FCF5	#010C02
green.100	#F2FBF4	#011003
green.110	#EEFAF0	#011403
green.120	#EAF9ED	#011704
green.125	#E8F8EB	#021905
green.130	#E5F8E9	#021B06
green.140	#E1F6E6	#021F07
green.150	#DDF5E2	#032309
green.160	#D9F4DF	#03280B
green.170	#D5F3DB	#042C0C
green.175	#D3F2D9	#042E0D
green.180	#D1F2D8	#05300E
green.190	#CCF1D4	#053510
green.200	#C8EFD0	#063912
green.225	#BEECC7	#094418
green.250	#B3E9BE	#0C501D
green.275	#A8E6B5	#0F5C22
green.300	#9DE3AB	#136828
green.325	#92E0A2	#16742E
green.350	#87DC98	#1A8133
green.375	#7CD98E	#1D8E39
green.400	#70D584	#219B3F
green.425	#63D27A	#25A845
green.450	#55CE70	#28B54B
green.475	#46CB65	#2CC352
green.500	#34C759	#30D158
green.525	#2FBF54	#34D25A
green.550	#29B74F	#37D35C
green.575	#24AF4A	#3BD45E
green.600	#1EA745	#3ED560
green.625	#18A040	#41D662
green.650	#11983C	#44D764
green.675	#099137	#47D866
green.700	#008932	#4AD968
green.725	#00792B	#60DD76
green.750	#006A25	#73E083
green.775	#005B1F	#83E490
green.800	#004D19	#93E79D
green.810	#004716	#99E9A2
green.820	#004214	#9FEAA7
green.825	#003F13	#A2EAAA
green.830	#003C11	#A5EBAC
green.840	#00370F	#AAECB1
green.850	#00310D	#B0EEB6
green.860	#002C0B	#B5EFBB
green.870	#002709	#BBF0C0
green.875	#002508	#BEF1C2
green.880	#002207	#C0F1C5
green.890	#001D05	#C6F3CA
green.900	#001804	#CBF4CE
green.910	#001403	#D0F5D3
green.920	#000F02	#D6F6D8
green.925	#000D02	#D8F7DB
green.930	#000A01	#DBF7DD
green.940	#000701	#E0F9E2
green.950	#000400	#E5FAE7
green.960	#000200	#EBFBEC
green.970	#000100	#F0FCF0
green.975	#000000	#F2FCF3
green.980	#000000	#F5FDF5
green.990	#000000	#FAFEFA
green.1000	#000000	#FFFFFF
