Token	Light	Dark
grey.0	#FFFFFF	#000000
grey.10	#FCFCFD	#000000
grey.20	#FAFAFC	#020203
grey.25	#F8F8FB	#050505
grey.30	#F7F7FA	#080809
grey.40	#F5F5F9	#121213
grey.50	#F2F2F7	#1C1C1E
grey.60	#EFEFF4	#1F1F21
grey.70	#EDEDF2	#222224
grey.75	#EBEBF0	#242426
grey.80	#EAEAEF	#252527
grey.90	#E8E8ED	#29292B
grey.100	#E5E5EA	#2C2C2E
grey.110	#E3E3E8	#2D2D2F
grey.120	#E1E1E6	#2F2F31
grey.125	#E0E0E5	#2F2F31
grey.130	#DFDFE4	#303032
grey.140	#DDDDE2	#323234
grey.150	#DBDBE0	#333335
grey.160	#D9D9DE	#343436
grey.170	#D7D7DC	#363638
grey.175	#D6D6DB	#363638
grey.180	#D5D5DA	#373739
grey.190	#D3D3D8	#39393B
grey.200	#D1D1D6	#3A3A3C
grey.225	#CECED3	#3D3D3F
grey.250	#CCCCD1	#414143
grey.275	#C9C9CE	#444446
grey.300	#C7C7CC	#48484A
grey.325	#C1C1C5	#4F4F51
grey.350	#BABABF	#555558
grey.375	#B4B4B8	#5C5C5F
grey.400	#AEAEB2	#636366
grey.425	#A6A6AA	#6D6D71
grey.450	#9E9EA2	#78787C
grey.475	#96969B	#838387
grey.500	#8E8E93	#8E8E93
grey.525	#8A8A8F	#929297
grey.550	#85858A	#96969B
grey.575	#818186	#9A9A9E
grey.600	#7D7D81	#9E9EA2
grey.625	#79797D	#A2A2A6
grey.650	#747479	#A6A6AA
grey.675	#707074	#AAAAAE
grey.700	#6C6C70	#AEAEB2
grey.725	#5F5F63	#B5B5B8
grey.750	#535356	#BBBBBE
grey.775	#47474A	#C2C2C5
grey.800	#3B3B3E	#C8C8CB
grey.810	#373739	#CBCBCE
grey.820	#323235	#CECED0
grey.825	#303032	#CFCFD1
grey.830	#2E2E30	#D0D0D3
grey.840	#2A2A2B	#D3D3D5
grey.850	#252527	#D6D6D8
grey.860	#212123	#D8D8DA
grey.870	#1D1D1E	#DBDBDD
grey.875	#1B1B1C	#DDDDDE
grey.880	#19191A	#DEDEE0
grey.890	#151516	#E1E1E2
grey.900	#111112	#E3E3E5
grey.910	#0D0D0E	#E6E6E7
grey.920	#09090A	#E9E9EA
grey.925	#080808	#EAEAEB
grey.930	#060607	#ECECED
grey.940	#040404	#EEEEEF
grey.950	#020202	#F1F1F2
grey.960	#010101	#F4F4F4
grey.970	#000001	#F7F7F7
grey.975	#000000	#F8F8F8
grey.980	#000000	#F9F9FA
grey.990	#000000	#FCFCFC
grey.1000	#000000	#FFFFFF
