Token	Light	Dark
indigo.0	#FFFFFF	#000000
indigo.10	#FDFDFF	#000000
indigo.20	#FBFBFF	#000000
indigo.25	#F9FAFF	#000000
indigo.30	#F8F9FF	#000001
indigo.40	#F6F7FF	#000002
indigo.50	#F4F5FF	#010103
indigo.60	#F1F2FF	#010106
indigo.70	#EDEFFF	#010209
indigo.75	#EBEDFF	#02020B
indigo.80	#EAEBFF	#02030D
indigo.90	#E6E8FF	#030412
indigo.100	#E3E5FF	#040516
indigo.110	#DFE2FF	#05071B
indigo.120	#DCDEFF	#07091F
indigo.125	#DADDFF	#080A22
indigo.130	#D8DBFF	#090C24
indigo.140	#D5D8FF	#0B0E29
indigo.150	#D1D4FF	#0D112E
indigo.160	#CED1FF	#101333
indigo.170	#CACDFF	#121638
indigo.175	#C8CCFF	#13173A
indigo.180	#C6CAFF	#14183D
indigo.190	#C3C7FF	#171B42
indigo.200	#BFC3FF	#191E48
indigo.225	#B7BBFF	#1F2555
indigo.250	#AEB2FF	#262C63
indigo.275	#A6AAFE	#2C3371
indigo.300	#9DA1FE	#333B80
indigo.325	#9599FD	#3A438F
indigo.350	#8D90FC	#414A9E
indigo.375	#8587FB	#4852AE
indigo.400	#7D7DFA	#4F5ABE
indigo.425	#7674F9	#5663CE
indigo.450	#6E6AF8	#5E6BDE
indigo.475	#6860F6	#6573EE
indigo.500	#6155F5	#6D7CFF
indigo.525	#6054F2	#7582FF
indigo.550	#5E52EF	#7C88FF
indigo.575	#5D51EC	#838EFF
indigo.600	#5B4FE9	#8B93FF
indigo.625	#5A4EE7	#9299FF
indigo.650	#594DE4	#999FFF
indigo.675	#574BE1	#A0A4FF
indigo.700	#564ADE	#A7AAFF
indigo.725	#4C41C6	#AEB1FF
indigo.750	#4238AE	#B5B8FF
indigo.775	#382F97	#BCC0FF
indigo.800	#2E2780	#C3C7FF
indigo.810	#2A2477	#C6CAFF
indigo.820	#27206F	#C9CCFF
indigo.825	#251F6A	#CACEFF
indigo.830	#231D66	#CCCFFF
indigo.840	#201A5E	#CFD2FF
indigo.850	#1C1755	#D1D5FF
indigo.860	#19144D	#D4D8FF
indigo.870	#151145	#D7DBFF
indigo.875	#130F41	#D9DCFF
indigo.880	#120E3D	#DADDFF
indigo.890	#0F0B35	#DDE0FF
indigo.900	#0B082E	#E0E3FF
indigo.910	#080626	#E3E6FF
indigo.920	#06041F	#E6E9FF
indigo.925	#05041C	#E8EAFF
indigo.930	#040318	#E9EBFF
indigo.940	#020212	#ECEEFF
indigo.950	#01010B	#F0F1FF
indigo.960	#010106	#F3F4FF
indigo.970	#000002	#F6F7FF
indigo.975	#000001	#F7F8FF
indigo.980	#000001	#F9F9FF
indigo.990	#000000	#FCFCFF
indigo.1000	#000000	#FFFFFF
