Token	Light	Dark
mint.0	#FFFFFF	#000000
mint.10	#FCFEFE	#000000
mint.20	#F9FEFD	#000000
mint.25	#F8FEFD	#000000
mint.30	#F7FDFD	#000000
mint.40	#F4FDFC	#000101
mint.50	#F1FCFB	#000202
mint.60	#ECFBFA	#000403
mint.70	#E7FAF8	#000605
mint.75	#E5FAF8	#000806
mint.80	#E3F9F7	#000907
mint.90	#DEF8F5	#000D0A
mint.100	#D9F7F4	#00110E
mint.110	#D5F6F3	#001511
mint.120	#D2F5F1	#001915
mint.125	#D0F4F0	#001B17
mint.130	#CEF4F0	#001D19
mint.140	#CAF2EE	#00211D
mint.150	#C7F1ED	#002520
mint.160	#C3F0EB	#002A24
mint.170	#BFEFEA	#002E28
mint.175	#BEEEE9	#00302A
mint.180	#BCEEE8	#00332C
mint.190	#B8EDE7	#003730
mint.200	#B4ECE5	#003C34
mint.225	#ABE9E1	#00473F
mint.250	#A1E6DD	#00544A
mint.275	#97E3D9	#006055
mint.300	#8DE0D5	#006C60
mint.325	#82DDD1	#00796C
mint.350	#77DACD	#008778
mint.375	#6CD7C9	#009484
mint.400	#5FD4C5	#00A290
mint.425	#51D1C0	#00AF9D
mint.450	#41CEBC	#00BDA9
mint.475	#2CCBB7	#00CCB6
mint.500	#00C8B3	#00DAC3
mint.525	#00BFAB	#1ADBC4
mint.550	#00B7A3	#28DBC5
mint.575	#00AE9B	#32DCC6
mint.600	#00A693	#3ADDC7
mint.625	#009E8C	#42DDC8
mint.650	#009584	#48DEC9
mint.675	#008D7C	#4EDECA
mint.700	#008575	#54DFCB
mint.725	#007667	#69E2CF
mint.750	#00675A	#7BE5D4
mint.775	#00594D	#8BE8D8
mint.800	#004B41	#99EADC
mint.810	#00453C	#9FECDE
mint.820	#004037	#A5EDE0
mint.825	#003D35	#A8EDE0
mint.830	#003A32	#AAEEE1
mint.840	#00352E	#B0EFE3
mint.850	#003029	#B5F0E5
mint.860	#002B25	#BAF1E6
mint.870	#002620	#BFF2E8
mint.875	#00231E	#C2F2E9
mint.880	#00211C	#C5F3EA
mint.890	#001C17	#CAF4EC
mint.900	#001713	#CFF5ED
mint.910	#00130F	#D4F6EF
mint.920	#000E0B	#D9F7F1
mint.925	#000C09	#DBF8F2
mint.930	#000A07	#DEF8F3
mint.940	#000605	#E2F9F4
mint.950	#000403	#E7FAF6
mint.960	#000201	#ECFBF8
mint.970	#000101	#F1FCFA
mint.975	#000000	#F3FDFB
mint.980	#000000	#F6FDFB
mint.990	#000000	#FAFEFD
mint.1000	#000000	#FFFFFF
