Token	Light	Dark
orange.0	#FFFFFF	#000000
orange.10	#FFFFFE	#000000
orange.20	#FFFEFD	#000000
orange.25	#FFFEFC	#000000
orange.30	#FFFEFB	#010000
orange.40	#FFFDFA	#020000
orange.50	#FFFDF9	#030100
orange.60	#FFFCF6	#060200
orange.70	#FFFCF4	#090300
orange.75	#FFFBF3	#0B0300
orange.80	#FFFBF1	#0D0400
orange.90	#FFFBEF	#120601
orange.100	#FFFAEC	#160801
orange.110	#FEF8E7	#1B0A01
orange.120	#FEF6E2	#1F0D01
orange.125	#FDF5E0	#220E02
orange.130	#FDF4DE	#241002
orange.140	#FCF2D9	#291302
orange.150	#FCEFD4	#2E1603
orange.160	#FCEDCF	#331803
orange.170	#FBEBCB	#381C04
orange.175	#FBEAC8	#3A1D04
orange.180	#FBE9C6	#3D1F05
orange.190	#FBE6C1	#422205
orange.200	#FAE4BC	#482506
orange.225	#FADEB0	#552D09
orange.250	#FAD8A4	#63350C
orange.275	#FAD199	#713E0F
orange.300	#FBCB8D	#804613
orange.325	#FBC481	#8F4F16
orange.350	#FCBD75	#9E581A
orange.375	#FCB569	#AE621D
orange.400	#FDAE5D	#BE6B21
orange.425	#FDA651	#CE7525
orange.450	#FE9E44	#DE7E28
orange.475	#FF9637	#EE882C
orange.500	#FF8D28	#FF9230
orange.525	#F88624	#FF9436
orange.550	#F17E1F	#FF963B
orange.575	#E9771A	#FF9740
orange.600	#E27016	#FF9945
orange.625	#DB6811	#FF9B49
orange.650	#D4610B	#FF9D4E
orange.675	#CC5A05	#FF9E52
orange.700	#C55300	#FFA056
orange.725	#AF4900	#FFA866
orange.750	#9A3F00	#FFB176
orange.775	#853600	#FFB985
orange.800	#712C00	#FFC193
orange.810	#692900	#FFC498
orange.820	#612500	#FFC79E
orange.825	#5E2300	#FFC9A1
orange.830	#5A2200	#FFCAA3
orange.840	#521E00	#FFCEA9
orange.850	#4B1B00	#FFD1AE
orange.860	#431700	#FFD4B4
orange.870	#3C1400	#FFD7B9
orange.875	#391200	#FFD9BC
orange.880	#351100	#FFDABF
orange.890	#2E0E00	#FFDDC4
orange.900	#270B00	#FFE0C9
orange.910	#210800	#FFE3CF
orange.920	#1A0500	#FFE7D4
orange.925	#170400	#FFE8D7
orange.930	#140400	#FFEADA
orange.940	#0E0200	#FFEDDF
orange.950	#090100	#FFF0E4
orange.960	#040100	#FFF3EA
orange.970	#020000	#FFF6EF
orange.975	#010000	#FFF7F2
orange.980	#010000	#FFF9F4
orange.990	#000000	#FFFCFA
orange.1000	#000000	#FFFFFF
