Token	Light	Dark
pink.0	#FFFFFF	#000000
pink.10	#FFFDFE	#000000
pink.20	#FFFBFC	#000000
pink.25	#FFF9FB	#000000
pink.30	#FFF8FB	#010000
pink.40	#FFF6F9	#020000
pink.50	#FFF4F8	#030000
pink.60	#FFEFF5	#060001
pink.70	#FFEBF2	#090001
pink.75	#FFE9F0	#0B0001
pink.80	#FFE6EF	#0D0102
pink.90	#FFE2EB	#120102
pink.100	#FFDDE8	#160103
pink.110	#FFD9E5	#1B0104
pink.120	#FFD6E3	#1F0205
pink.125	#FFD4E2	#220206
pink.130	#FFD2E0	#240207
pink.140	#FFCEDE	#290308
pink.150	#FFCBDB	#2E030A
pink.160	#FFC7D8	#33040C
pink.170	#FFC3D5	#38050E
pink.175	#FFC2D4	#3A050F
pink.180	#FFC0D2	#3D0610
pink.190	#FFBCCF	#420713
pink.200	#FFB8CC	#480815
pink.225	#FFAFC4	#550B1A
pink.250	#FFA6BC	#630F20
pink.275	#FF9CB4	#711326
pink.300	#FF92AB	#80162C
pink.325	#FF88A1	#8F1A32
pink.350	#FF7E98	#9E1E38
pink.375	#FF738E	#AE223E
pink.400	#FF6883	#BE2644
pink.425	#FF5C79	#CE2A4B
pink.450	#FF4F6D	#DE2E52
pink.475	#FF4062	#EE3358
pink.500	#FF2D55	#FF375F
pink.525	#FC2A54	#FF446F
pink.550	#F92753	#FF507D
pink.575	#F62452	#FF5B8B
pink.600	#F32151	#FF6598
pink.625	#F01E50	#FF6FA4
pink.650	#ED1A4F	#FF78AF
pink.675	#EA164E	#FF81BA
pink.700	#E7124D	#FF8AC4
pink.725	#CE0F44	#FF94C9
pink.750	#B50B3A	#FF9FCE
pink.775	#9D0832	#FFA9D3
pink.800	#860629	#FFB2D7
pink.810	#7C0525	#FFB6D9
pink.820	#730422	#FFBADB
pink.825	#6F0420	#FFBCDC
pink.830	#6A041F	#FFBEDD
pink.840	#62031B	#FFC2DF
pink.850	#590218	#FFC6E1
pink.860	#500215	#FFCAE3
pink.870	#480212	#FFCEE5
pink.875	#440110	#FFD0E6
pink.880	#40010F	#FFD1E7
pink.890	#38010C	#FFD5E9
pink.900	#300109	#FFD9EB
pink.910	#280107	#FFDDED
pink.920	#210005	#FFE1EF
pink.925	#1D0004	#FFE3F0
pink.930	#1A0003	#FFE4F1
pink.940	#130002	#FFE8F3
pink.950	#0C0001	#FFECF5
pink.960	#060001	#FFF0F7
pink.970	#030000	#FFF4F9
pink.975	#020000	#FFF6FA
pink.980	#010000	#FFF7FB
pink.990	#000000	#FFFBFD
pink.1000	#000000	#FFFFFF
