Token	Light	Dark
purple.0	#FFFFFF	#000000
purple.10	#FEFDFF	#000000
purple.20	#FDFBFF	#000000
purple.25	#FCFAFF	#000000
purple.30	#FCF9FF	#010001
purple.40	#FBF7FF	#010001
purple.50	#FAF5FF	#020003
purple.60	#F8F1FF	#040005
purple.70	#F6EEFF	#060008
purple.75	#F5ECFF	#08000A
purple.80	#F4EAFF	#0A000C
purple.90	#F2E7FF	#0D0110
purple.100	#F0E3FF	#110114
purple.110	#EFDFFF	#150119
purple.120	#EDDCFF	#19021D
purple.125	#ECDAFF	#1B021F
purple.130	#ECD8FF	#1D0222
purple.140	#EBD5FF	#210226
purple.150	#E9D1FF	#26032B
purple.160	#E8CDFF	#2A0430
purple.170	#E7CAFF	#2E0434
purple.175	#E6C8FF	#310537
purple.180	#E6C6FF	#330539
purple.190	#E5C2FF	#37063E
purple.200	#E4BFFF	#3C0743
purple.225	#E1B5FE	#480A50
purple.250	#DFABFD	#540E5E
purple.275	#DCA2FB	#60116B
purple.300	#DA97F9	#6D1579
purple.325	#D88DF7	#7A1987
purple.350	#D682F5	#871C96
purple.375	#D477F2	#9520A5
purple.400	#D36CEF	#A224B4
purple.425	#D15FEC	#B028C3
purple.450	#CF52E8	#BE2CD2
purple.475	#CD43E4	#CD30E2
purple.500	#CB30E0	#DB34F2
purple.525	#C830DC	#DD44F4
purple.550	#C430D8	#DF51F6
purple.575	#C130D5	#E15DF8
purple.600	#BD30D1	#E367F9
purple.625	#BA30CD	#E571FB
purple.650	#B72FC9	#E67BFC
purple.675	#B32FC6	#E884FE
purple.700	#B02FC2	#EA8DFF
purple.725	#9C29AD	#EC97FF
purple.750	#892398	#EEA1FF
purple.775	#771D83	#F1ABFF
purple.800	#64176F	#F3B5FF
purple.810	#5D1468	#F3B9FF
purple.820	#561260	#F4BDFF
purple.825	#53115C	#F4BEFF
purple.830	#4F1058	#F5C0FF
purple.840	#490E51	#F6C4FF
purple.850	#420C49	#F6C8FF
purple.860	#3B0A42	#F7CCFF
purple.870	#35083B	#F8CFFF
purple.875	#320738	#F8D1FF
purple.880	#2E0634	#F8D3FF
purple.890	#28052D	#F9D7FF
purple.900	#220327	#FADAFF
purple.910	#1C0320	#FADEFF
purple.920	#16021A	#FBE2FF
purple.925	#140117	#FBE4FF
purple.930	#110114	#FBE5FF
purple.940	#0B010E	#FCE9FF
purple.950	#070008	#FDEDFF
purple.960	#030004	#FDF0FF
purple.970	#010002	#FEF4FF
purple.975	#010001	#FEF6FF
purple.980	#000001	#FEF8FF
purple.990	#000000	#FFFBFF
purple.1000	#000000	#FFFFFF
