Token	Light	Dark
red.0	#FFFFFF	#000000
red.10	#FFFEFE	#000000
red.20	#FFFEFD	#000000
red.25	#FFFDFD	#000000
red.30	#FFFDFD	#010000
red.40	#FFFDFC	#020000
red.50	#FFFCFB	#030000
red.60	#FFFBF9	#060000
red.70	#FFF9F8	#090001
red.75	#FFF9F7	#0B0101
red.80	#FFF8F6	#0D0101
red.90	#FFF6F5	#120101
red.100	#FFF5F4	#160102
red.110	#FFF1EF	#1B0202
red.120	#FFEDEB	#1F0203
red.125	#FFEBE9	#220303
red.130	#FFE9E7	#240303
red.140	#FFE5E2	#290404
red.150	#FFE1DE	#2E0505
red.160	#FFDDD9	#330606
red.170	#FFD9D5	#380708
red.175	#FFD7D2	#3A0808
red.180	#FFD5D0	#3D0809
red.190	#FFD1CC	#420A0B
red.200	#FFCDC7	#480B0C
red.225	#FFC2BC	#550F11
red.250	#FFB8B1	#631415
red.275	#FFADA6	#711819
red.300	#FFA39B	#801C1E
red.325	#FF988F	#8F2122
red.350	#FF8D84	#9E2527
red.375	#FF8179	#AE2A2C
red.400	#FF756D	#BE2F31
red.425	#FF6862	#CE3336
red.450	#FF5A56	#DE383B
red.475	#FF4B49	#EE3D40
red.500	#FF383C	#FF4245
red.525	#FC343A	#FF4649
red.550	#F93138	#FF4B4E
red.575	#F72D36	#FF4F52
red.600	#F42935	#FF5356
red.625	#F12533	#FF565A
red.650	#EE2031	#FF5A5E
red.675	#EC1B2F	#FF5E61
red.700	#E9152D	#FF6165
red.725	#D01127	#FF7172
red.750	#B70E21	#FF7F7E
red.775	#9E0A1B	#FF8D8B
red.800	#870716	#FF9B98
red.810	#7E0613	#FFA09D
red.820	#740511	#FFA5A2
red.825	#700510	#FFA8A4
red.830	#6B040F	#FFAAA7
red.840	#63040D	#FFB0AC
red.850	#5A030B	#FFB5B1
red.860	#510309	#FFBAB6
red.870	#490207	#FFBFBB
red.875	#450206	#FFC1BE
red.880	#410206	#FFC4C0
red.890	#380104	#FFC9C6
red.900	#310103	#FFCECB
red.910	#290102	#FFD3D0
red.920	#210002	#FFD8D5
red.925	#1E0001	#FFDAD8
red.930	#1A0001	#FFDDDA
red.940	#130001	#FFE2DF
red.950	#0C0000	#FFE7E5
red.960	#060000	#FFEBEA
red.970	#030000	#FFF0EF
red.975	#020000	#FFF3F2
red.980	#010000	#FFF5F4
red.990	#000000	#FFFAFA
red.1000	#000000	#FFFFFF
