Token	Light	Dark
teal.0	#FFFFFF	#000000
teal.10	#FCFEFF	#000000
teal.20	#FAFEFE	#000000
teal.25	#F9FEFE	#000000
teal.30	#F7FDFE	#000001
teal.40	#F5FDFD	#000101
teal.50	#F2FCFD	#000202
teal.60	#EDFBFC	#000404
teal.70	#E8F9FC	#000607
teal.75	#E5F9FB	#000708
teal.80	#E2F8FB	#00090A
teal.90	#DDF6FA	#000C0E
teal.100	#D8F5FA	#001012
teal.110	#D4F4F9	#001416
teal.120	#D1F3F8	#00181A
teal.125	#CFF2F8	#001A1C
teal.130	#CDF1F7	#001C1E
teal.140	#CAF0F6	#002022
teal.150	#C6EFF5	#002427
teal.160	#C3EEF4	#00282B
teal.170	#BFECF4	#002C30
teal.175	#BDECF3	#002E32
teal.180	#BBEBF3	#003034
teal.190	#B8EAF2	#003539
teal.200	#B4E9F1	#00393E
teal.225	#AAE6EE	#00454A
teal.250	#A1E2EC	#005056
teal.275	#97DFE9	#005C63
teal.300	#8DDCE7	#006870
teal.325	#83D9E4	#00757D
teal.350	#78D6E1	#00818A
teal.375	#6CD3DE	#008E98
teal.400	#60D0DC	#009BA6
teal.425	#52CDD9	#00A9B4
teal.450	#42C9D6	#00B6C3
teal.475	#2DC6D3	#00C4D1
teal.500	#00C3D0	#00D2E0
teal.525	#00BAC9	#10D3E2
teal.550	#00B2C3	#1AD5E3
teal.575	#00AABC	#21D6E5
teal.600	#00A1B5	#28D7E6
teal.625	#0099AE	#2DD9E8
teal.650	#0091A6	#32DAE9
teal.675	#00899F	#37DCEB
teal.700	#008198	#3BDDEC
teal.725	#007287	#58E0EE
teal.750	#006476	#6DE3EF
teal.775	#005666	#80E6F1
teal.800	#004856	#91E9F3
teal.810	#004350	#97EAF3
teal.820	#003E4A	#9EECF4
teal.825	#003B47	#A1ECF4
teal.830	#003844	#A4EDF5
teal.840	#00333E	#AAEEF5
teal.850	#002E38	#AFEFF6
teal.860	#002932	#B5F0F7
teal.870	#00242C	#BBF1F7
teal.875	#00222A	#BEF2F7
teal.880	#001F27	#C0F2F8
teal.890	#001B21	#C6F4F8
teal.900	#00161C	#CBF5F9
teal.910	#001217	#D1F6FA
teal.920	#000D12	#D6F7FA
teal.925	#000B0F	#D9F7FB
teal.930	#00090D	#DBF8FB
teal.940	#000608	#E0F9FB
teal.950	#000305	#E6FAFC
teal.960	#000202	#EBFBFD
teal.970	#000101	#F0FCFD
teal.975	#000001	#F2FCFE
teal.980	#000000	#F5FDFE
teal.990	#000000	#FAFEFE
teal.1000	#000000	#FFFFFF
