Token	Light	Dark
yellow.0	#FFFFFF	#000000
yellow.10	#FFFEFC	#000000
yellow.20	#FFFDF8	#000000
yellow.25	#FFFDF6	#000000
yellow.30	#FFFCF5	#010000
yellow.40	#FFFBF1	#020100
yellow.50	#FFFAEE	#030200
yellow.60	#FFFAEA	#060400
yellow.70	#FFF9E6	#090600
yellow.75	#FFF8E5	#0B0700
yellow.80	#FFF8E3	#0D0900
yellow.90	#FFF7DF	#120D00
yellow.100	#FFF6DC	#161000
yellow.110	#FFF5D8	#1B1400
yellow.120	#FFF4D5	#1F1800
yellow.125	#FFF3D3	#221A00
yellow.130	#FFF3D1	#241C00
yellow.140	#FFF2CD	#292000
yellow.150	#FFF1CA	#2E2500
yellow.160	#FFF0C6	#332900
yellow.170	#FFEFC2	#382D00
yellow.175	#FFEFC1	#3A2F00
yellow.180	#FFEEBF	#3D3200
yellow.190	#FFEDBB	#423600
yellow.200	#FFECB7	#483B00
yellow.225	#FFEAAE	#554600
yellow.250	#FFE7A4	#635200
yellow.275	#FFE49A	#715E00
yellow.300	#FFE290	#806A00
yellow.325	#FFDF86	#8F7700
yellow.350	#FFDD7A	#9E8400
yellow.375	#FFDA6F	#AE9100
yellow.400	#FFD762	#BE9E00
yellow.425	#FFD454	#CEAC00
yellow.450	#FFD243	#DEBA00
yellow.475	#FFCF2E	#EEC800
yellow.500	#FFCC00	#FFD600
yellow.525	#F4BF00	#FFD713
yellow.550	#E9B200	#FFD81E
yellow.575	#DDA500	#FFD927
yellow.600	#D29900	#FEDB2E
yellow.625	#C68C00	#FEDC34
yellow.650	#BA8100	#FEDD39
yellow.675	#AD7500	#FEDE3E
yellow.700	#A16A00	#FEDF43
yellow.725	#8F5E00	#FEE25C
yellow.750	#7D5200	#FEE570
yellow.775	#6C4600	#FEE881
yellow.800	#5B3A00	#FEEB92
yellow.810	#553600	#FEEC98
yellow.820	#4E3100	#FEED9E
yellow.825	#4B2F00	#FEEEA1
yellow.830	#482D00	#FEEEA4
yellow.840	#422900	#FEEFAA
yellow.850	#3C2400	#FEF0AF
yellow.860	#352000	#FEF1B5
yellow.870	#301C00	#FEF2BB
yellow.875	#2D1A00	#FEF3BD
yellow.880	#2A1800	#FEF3C0
yellow.890	#241400	#FEF4C6
yellow.900	#1E1000	#FEF5CB
yellow.910	#190D00	#FEF6D0
yellow.920	#140900	#FFF7D6
yellow.925	#110700	#FFF8D8
yellow.930	#0E0600	#FFF8DB
yellow.940	#090400	#FFF9E0
yellow.950	#050200	#FFFAE5
yellow.960	#030100	#FFFBEB
yellow.970	#010000	#FFFCF0
yellow.975	#010000	#FFFDF2
yellow.980	#000000	#FFFDF5
yellow.990	#000000	#FFFEFA
yellow.1000	#000000	#FFFFFF
