Token	Light	Dark
blue.0	#FFFFFF	#000000
blue.10	#FCFDFE	#000000
blue.20	#F9FBFD	#000000
blue.25	#F7FAFD	#000000
blue.30	#F6F9FC	#000001
blue.40	#F3F8FC	#000001
blue.50	#F0F5FB	#000102
blue.60	#EDF3FA	#000204
blue.70	#EBF1F9	#010306
blue.75	#E9F0F9	#010308
blue.80	#E7EFF8	#010409
blue.90	#E4EEF7	#01050D
blue.100	#E1EBF7	#020711
blue.110	#DCE9F5	#020A15
blue.120	#D8E5F4	#030D19
blue.125	#D5E4F3	#030E1B
blue.130	#D4E3F3	#040F1D
blue.140	#CFE0F2	#041221
blue.150	#CBDDF0	#061526
blue.160	#C6DAEF	#07182A
blue.170	#C2D8EE	#081B2E
blue.175	#C0D6ED	#091C30
blue.180	#BED4ED	#0A1E33
blue.190	#B9D2EC	#0B2137
blue.200	#B4CFEA	#0D243C
blue.225	#9DC8F8	#002B54
blue.250	#8CC1FC	#003365
blue.275	#7CBAFF	#003A76
blue.300	#6EB2FF	#004288
blue.325	#5FAAFF	#004A99
blue.350	#51A2FF	#0053A9
blue.375	#4499FF	#005BB9
blue.400	#3791FF	#0064C8
blue.425	#2B89FD	#006DD7
blue.450	#1F81F8	#0076E5
blue.475	#1078F2	#0980F2
blue.500	#0071EC	#1E8AFF
blue.525	#006FE9	#248FFF
blue.550	#006DE6	#2A94FF
blue.575	#006BE3	#3099FF
blue.600	#0069E0	#379EFF
blue.625	#0067DD	#3FA3FF
blue.650	#0065DA	#47A9FF
blue.675	#0762D7	#50AEFF
blue.700	#0F60D5	#59B3FF
blue.725	#1555B8	#6EBAFE
blue.750	#134AA2	#7EC1FB
blue.775	#12408B	#8FC8F7
blue.800	#113673	#A0CEF3
blue.810	#10316B	#A5D0F3
blue.820	#0D2D63	#AAD2F4
blue.825	#0C2B60	#ADD4F4
blue.830	#0C295C	#AFD5F4
blue.840	#0A2554	#B3D7F5
blue.850	#08214C	#B8DBF6
blue.860	#061D44	#BDDDF6
blue.870	#051A3E	#C1DFF7
blue.875	#05173A	#C4E0F7
blue.880	#041536	#C6E2F7
blue.890	#031230	#CBE4F8
blue.900	#030E28	#D0E6F9
blue.910	#020B21	#D5E9F9
blue.920	#01081B	#D9ECFA
blue.925	#010618	#DCEDFA
blue.930	#010515	#DEEEFA
blue.940	#00030E	#E2F0FB
blue.950	#000208	#E7F3FC
blue.960	#000104	#ECF5FC
blue.970	#000102	#F1F7FD
blue.975	#000001	#F3F9FD
blue.980	#000001	#F6FAFE
blue.990	#000000	#FAFDFE
blue.1000	#000000	#FFFFFF
