Token	Light	Dark
cyan.0	#FFFFFF	#000000
cyan.10	#FDFEFF	#000000
cyan.20	#FBFDFE	#000000
cyan.25	#FAFDFE	#000000
cyan.30	#F8FCFD	#000001
cyan.40	#F7FBFD	#000102
cyan.50	#F4F9FD	#000203
cyan.60	#F1F8FC	#010405
cyan.70	#EDF6FB	#010608
cyan.75	#ECF5FA	#02070A
cyan.80	#EAF5FA	#03080C
cyan.90	#E6F3FA	#040B0F
cyan.100	#E3F1F9	#050F14
cyan.110	#E0F0F8	#071318
cyan.120	#DDEFF7	#09171C
cyan.125	#DBEEF7	#0A191E
cyan.130	#DAEDF6	#0B1B21
cyan.140	#D7ECF6	#0D1F26
cyan.150	#D4EBF5	#10232A
cyan.160	#D1EAF5	#12272E
cyan.170	#CEE7F3	#152B34
cyan.175	#CDE7F3	#162D36
cyan.180	#CBE6F3	#182F39
cyan.190	#C8E5F3	#1A333D
cyan.200	#C5E4F2	#1D3842
cyan.225	#B6E1F5	#194454
cyan.250	#ACDEF4	#1F5062
cyan.275	#A3DBF3	#245C70
cyan.300	#9AD8F3	#29677F
cyan.325	#90D5F1	#2E738D
cyan.350	#86D2F0	#33809D
cyan.375	#7BCEEF	#398DAC
cyan.400	#70CBED	#3E9ABC
cyan.425	#64C8ED	#43A8CC
cyan.450	#56C5EB	#48B5DD
cyan.475	#47C1EA	#4DC3ED
cyan.500	#33BEE9	#52D1FE
cyan.525	#34B5E1	#59D2FE
cyan.550	#34ADD9	#60D2FD
cyan.575	#33A5D1	#66D2FD
cyan.600	#329CCA	#6CD3FD
cyan.625	#3194C1	#71D4FD
cyan.650	#308CBA	#76D5FD
cyan.675	#2F84B1	#7BD5FC
cyan.700	#2D7CA9	#7FD6FC
cyan.725	#306E93	#93D8F8
cyan.750	#295F80	#9DDDF8
cyan.775	#22526F	#A7E0F9
cyan.800	#1C455D	#B2E3FA
cyan.810	#194057	#B6E5FA
cyan.820	#173B50	#BAE6FA
cyan.825	#15384D	#BCE7FA
cyan.830	#14364A	#BEE8FA
cyan.840	#123144	#C1EAFB
cyan.850	#0F2C3D	#C6EBFB
cyan.860	#0D2737	#CAECFB
cyan.870	#0A2231	#CDEDFC
cyan.875	#09202E	#D0EEFC
cyan.880	#081E2B	#D1EFFC
cyan.890	#061925	#D6F0FC
cyan.900	#05141F	#D9F1FC
cyan.910	#03101A	#DDF3FD
cyan.920	#020D14	#E1F4FD
cyan.925	#020B11	#E2F5FD
cyan.930	#02090F	#E4F6FD
cyan.940	#01050A	#E8F7FD
cyan.950	#010305	#ECF8FE
cyan.960	#000203	#F0F9FE
cyan.970	#000101	#F4FBFE
cyan.975	#000001	#F5FCFE
cyan.980	#000000	#F7FDFF
cyan.990	#000000	#FCFEFF
cyan.1000	#000000	#FFFFFF
