Token	Light	Dark
green.0	#FFFFFF	#000000
green.10	#FEFFFE	#000000
green.20	#FDFFFD	#000000
green.25	#FDFFFD	#000000
green.30	#FDFEFD	#000000
green.40	#FCFEFC	#000100
green.50	#FBFEFB	#000200
green.60	#F9FDF9	#000401
green.70	#F9FDF9	#010601
green.75	#F8FCF8	#010702
green.80	#F7FCF8	#010802
green.90	#F5FCF6	#020B03
green.100	#F3FAF5	#030F04
green.110	#EFF9F1	#031305
green.120	#ECF8EE	#041606
green.125	#EAF7EC	#051808
green.130	#E7F7EB	#061A09
green.140	#E4F5E8	#071E0B
green.150	#E0F4E4	#09220D
green.160	#DCF3E1	#0B2710
green.170	#D9F1DE	#0D2B11
green.175	#D7F0DC	#0D2D12
green.180	#D5F0DB	#0F2F14
green.190	#D1EFD7	#103316
green.200	#CDEDD4	#123718
green.225	#BFEBC8	#0D441A
green.250	#B5E8BF	#11501F
green.275	#AAE5B6	#155B24
green.300	#9FE2AD	#19672A
green.325	#95DFA4	#1D7331
green.350	#8ADB9A	#218036
green.375	#80D890	#258D3C
green.400	#74D486	#2A9A43
green.425	#68D17D	#2EA749
green.450	#5BCD73	#32B44F
green.475	#4DCA69	#37C256
green.500	#3EC65D	#3CD05D
green.525	#39BE58	#3FD15F
green.550	#33B653	#41D261
green.575	#2FAE4E	#45D362
green.600	#29A649	#47D464
green.625	#249F44	#4AD566
green.650	#1E9740	#4DD668
green.675	#19903B	#4FD76A
green.700	#128836	#52D86C
green.725	#207734	#70DA80
green.750	#1B682D	#80DD8C
green.775	#165926	#8EE198
green.800	#114C1F	#9CE4A4
green.810	#0F461C	#A1E7A8
green.820	#0D4119	#A6E8AD
green.825	#0C3E18	#A9E8AF
green.830	#0B3B16	#ACE9B1
green.840	#093614	#B0EAB6
green.850	#083011	#B6ECBB
green.860	#062B0F	#BAEDBF
green.870	#05260C	#C0EEC4
green.875	#05240B	#C3EFC6
green.880	#04210A	#C4EFC9
green.890	#031C07	#CAF1CD
green.900	#021706	#CFF3D1
green.910	#021304	#D3F4D6
green.920	#010F03	#D9F5DA
green.925	#010D03	#DBF6DD
green.930	#010A02	#DDF6DF
green.940	#010701	#E2F8E4
green.950	#000400	#E7F9E8
green.960	#000200	#ECFAED
green.970	#000100	#F1FCF1
green.975	#000000	#F3FCF4
green.980	#000000	#F6FDF6
green.990	#000000	#FAFEFA
green.1000	#000000	#FFFFFF
