Token	Light	Dark
grey.0	#FFFFFF	#000000
grey.10	#FCFCFD	#000000
grey.20	#FAFAFB	#020202
grey.25	#F8F8FA	#050505
grey.30	#F7F7F9	#080809
grey.40	#F4F6F7	#121213
grey.50	#F1F3F5	#1C1C1D
grey.60	#EEF0F2	#1F1F20
grey.70	#ECEEF0	#222223
grey.75	#EAECEE	#242425
grey.80	#E9EBED	#252526
grey.90	#E7E9EB	#29292A
grey.100	#E4E6E8	#2C2C2D
grey.110	#E2E4E6	#2D2D2E
grey.120	#E0E2E4	#2F2F30
grey.125	#DFE1E3	#2E2F30
grey.130	#DEE0E2	#2F3031
grey.140	#DCDEE0	#313234
grey.150	#DADCDE	#323335
grey.160	#D8DADC	#333436
grey.170	#D6D8DA	#353638
grey.175	#D5D7D9	#353638
grey.180	#D4D6D8	#363739
grey.190	#D2D4D6	#38393B
grey.200	#D0D2D4	#393A3C
grey.225	#CCCFD2	#3C3D3F
grey.250	#CACDD0	#404144
grey.275	#C7CACE	#434447
grey.300	#C5C8CC	#46484B
grey.325	#BEC2C6	#4D4F53
grey.350	#B7BBC0	#535659
grey.375	#B1B5BA	#5A5D60
grey.400	#ABAFB4	#616468
grey.425	#A3A7AC	#6B6E72
grey.450	#9A9FA5	#75797D
grey.475	#92979D	#808489
grey.500	#8A8F95	#8B8F94
grey.525	#868B91	#8F9398
grey.550	#82868C	#93979C
grey.575	#7E8287	#979B9F
grey.600	#7A7E83	#9C9FA3
grey.625	#767A7E	#A0A3A7
grey.650	#727579	#A4A7AA
grey.675	#6E7175	#A8ABAE
grey.700	#6A6D70	#ACAFB2
grey.725	#5D6063	#B3B6B9
grey.750	#515456	#B9BCBE
grey.775	#46484A	#C1C3C5
grey.800	#3A3B3E	#C7C9CB
grey.810	#363739	#CACBCE
grey.820	#313234	#CDCED0
grey.825	#2F3032	#CECFD1
grey.830	#2D2E30	#CFD0D2
grey.840	#292A2C	#D2D3D5
grey.850	#242527	#D5D6D8
grey.860	#202123	#D7D8DA
grey.870	#1C1D1E	#DADBDD
grey.875	#1A1B1C	#DCDDDF
grey.880	#18191A	#DDDEE0
grey.890	#141516	#E0E1E2
grey.900	#101112	#E2E3E4
grey.910	#0D0D0E	#E5E6E7
grey.920	#09090A	#E8E9EA
grey.925	#080809	#EAEAEB
grey.930	#060607	#ECECED
grey.940	#040404	#EEEEEF
grey.950	#020202	#F1F1F2
grey.960	#010101	#F4F4F5
grey.970	#000000	#F7F7F7
grey.975	#000000	#F8F8F8
grey.980	#000000	#F9F9FA
grey.990	#000000	#FCFCFC
grey.1000	#000000	#FFFFFF
