Token	Light	Dark
indigo.0	#FFFFFF	#000000
indigo.10	#FDFDFE	#000000
indigo.20	#FBFBFE	#000000
indigo.25	#F9FAFE	#000000
indigo.30	#F8F9FD	#000001
indigo.40	#F6F7FD	#000001
indigo.50	#F4F5FC	#010102
indigo.60	#F1F2FC	#010104
indigo.70	#EDF0FB	#010207
indigo.75	#EBEEFA	#020208
indigo.80	#EAECFA	#02030A
indigo.90	#E6E9F9	#03050E
indigo.100	#E3E6F8	#040612
indigo.110	#E0E3F7	#050816
indigo.120	#DCDFF6	#070B19
indigo.125	#DADEF6	#080C1C
indigo.130	#D8DCF6	#0A0E1E
indigo.140	#D5DAF5	#0C1022
indigo.150	#D1D6F4	#0E1327
indigo.160	#CED3F3	#11152B
indigo.170	#CACFF2	#13182F
indigo.175	#C9CEF2	#141A31
indigo.180	#C7CCF1	#151B34
indigo.190	#C4CAF1	#181E38
indigo.200	#C0C6F0	#1A213D
indigo.225	#B5BDF9	#1E2751
indigo.250	#ACB4F8	#242E5E
indigo.275	#A3ADF7	#2A356C
indigo.300	#9AA4F7	#313E7A
indigo.325	#929CF6	#374689
indigo.350	#8994F5	#3E4D98
indigo.375	#818BF4	#4555A8
indigo.400	#7881F3	#4B5DB8
indigo.425	#7079F2	#5267C8
indigo.450	#686FF1	#596FD8
indigo.475	#6166EF	#6077E8
indigo.500	#5A5BEF	#6780F9
indigo.525	#595BEB	#7086F8
indigo.550	#5759E7	#778CF8
indigo.575	#5659E3	#7F92F8
indigo.600	#5457DF	#8796F7
indigo.625	#5356DC	#8F9CF7
indigo.650	#5356D9	#96A2F7
indigo.675	#5154D5	#9DA7F7
indigo.700	#5053D1	#A4ADF7
indigo.725	#484DB2	#ADB4F2
indigo.750	#3E429C	#B4BBF3
indigo.775	#343887	#BBC2F4
indigo.800	#2B2F73	#C2C9F6
indigo.810	#272B6B	#C6CCF6
indigo.820	#242763	#C8CEF6
indigo.825	#22255F	#CAD0F7
indigo.830	#21235B	#CBD1F7
indigo.840	#1E2054	#CFD4F7
indigo.850	#1A1C4C	#D1D6F8
indigo.860	#171944	#D4D9F8
indigo.870	#13153D	#D7DCF9
indigo.875	#11133A	#D9DDF9
indigo.880	#101236	#DADEF9
indigo.890	#0E0F2F	#DDE1FA
indigo.900	#0A0B28	#E0E4FA
indigo.910	#070821	#E3E7FB
indigo.920	#05061B	#E6EAFB
indigo.925	#040518	#E8EBFB
indigo.930	#040414	#E9ECFB
indigo.940	#02030F	#ECEEFC
indigo.950	#010109	#F0F1FD
indigo.960	#010105	#F3F4FD
indigo.970	#000001	#F6F7FE
indigo.975	#000001	#F7F8FE
indigo.980	#000001	#F9F9FE
indigo.990	#000000	#FCFCFE
indigo.1000	#000000	#FFFFFF
