Token	Light	Dark
mint.0	#FFFFFF	#000000
mint.10	#FCFEFE	#000000
mint.20	#FAFEFD	#000000
mint.25	#F9FEFD	#000000
mint.30	#F8FDFD	#000000
mint.40	#F6FCFC	#000101
mint.50	#F3FBFB	#000202
mint.60	#EFFAFA	#010403
mint.70	#EBF9F8	#010605
mint.75	#EAF8F8	#020706
mint.80	#E8F7F7	#020807
mint.90	#E4F6F5	#030C0A
mint.100	#E0F5F3	#04100E
mint.110	#DDF4F2	#051411
mint.120	#DAF2F1	#061815
mint.125	#D8F1EF	#071A17
mint.130	#D7F1EF	#081B19
mint.140	#D3EFED	#0A1F1D
mint.150	#D1EEEC	#0C2320
mint.160	#CEEDEA	#0F2825
mint.170	#CAECE9	#112C28
mint.175	#C9EBE8	#122E2A
mint.180	#C8EAE8	#13312D
mint.190	#C5E9E6	#153531
mint.200	#C2E8E5	#183935
mint.225	#B1E7E2	#0E4640
mint.250	#A7E4DF	#11534C
mint.275	#9EE1DB	#145F57
mint.300	#94DED7	#176B62
mint.325	#89DBD3	#1A776E
mint.350	#7FD8CF	#1D857B
mint.375	#75D5CC	#1F9287
mint.400	#68D2C8	#22A093
mint.425	#5BCFC3	#24ADA0
mint.450	#4DCCBF	#25BBAD
mint.475	#3CC9BB	#27CABA
mint.500	#24C6B7	#28D8C7
mint.525	#25BDAF	#34D9C8
mint.550	#26B5A7	#3FD9C9
mint.575	#26AC9E	#47DACA
mint.600	#26A496	#4EDBCB
mint.625	#269C8F	#56DACC
mint.650	#259387	#5CDBCC
mint.675	#248B7F	#61DBCD
mint.700	#238378	#67DCCE
mint.725	#2A7369	#82DDD1
mint.750	#23645C	#8FE1D6
mint.775	#1D574F	#9BE4DA
mint.800	#184942	#A7E6DE
mint.810	#15433D	#ACE9E0
mint.820	#133E38	#B1EAE1
mint.825	#123B36	#B3EAE1
mint.830	#103833	#B5EBE2
mint.840	#0E332F	#BAECE4
mint.850	#0C2F2A	#BEEDE6
mint.860	#0A2A26	#C2EEE7
mint.870	#082521	#C7F0E9
mint.875	#07221F	#C9F0EA
mint.880	#06201D	#CCF1EB
mint.890	#051B18	#D0F2ED
mint.900	#041614	#D5F3EE
mint.910	#031210	#D9F4F0
mint.920	#020D0B	#DDF5F2
mint.925	#020B09	#DFF7F3
mint.930	#010907	#E2F7F3
mint.940	#010605	#E5F8F5
mint.950	#010403	#EAF9F6
mint.960	#000201	#EEFAF8
mint.970	#000101	#F3FBFA
mint.975	#000000	#F4FCFB
mint.980	#000000	#F7FDFB
mint.990	#000000	#FBFEFD
mint.1000	#000000	#FFFFFF
