Token	Light	Dark
orange.0	#FFFFFF	#000000
orange.10	#FFFFFE	#000000
orange.20	#FFFEFD	#000000
orange.25	#FFFEFC	#000000
orange.30	#FFFEFC	#010000
orange.40	#FFFDFB	#020000
orange.50	#FFFDFA	#030100
orange.60	#FEFCF7	#050200
orange.70	#FEFCF5	#080301
orange.75	#FEFBF5	#0A0301
orange.80	#FEFBF3	#0C0401
orange.90	#FEFBF1	#110702
orange.100	#FEFAEF	#140903
orange.110	#FDF8EA	#190B03
orange.120	#FDF6E6	#1D0E04
orange.125	#FCF5E4	#200F05
orange.130	#FBF4E2	#221105
orange.140	#FAF2DE	#261406
orange.150	#FAEFD9	#2B1808
orange.160	#FAEDD5	#301A09
orange.170	#F8EBD1	#351E0B
orange.175	#F8EACF	#371F0C
orange.180	#F8E9CD	#3A210D
orange.190	#F8E7C8	#3E240F
orange.200	#F7E5C4	#442711
orange.225	#F9DEB2	#542E0C
orange.250	#F9D8A6	#623610
orange.275	#F9D19C	#703F14
orange.300	#FACB90	#7F4718
orange.325	#F9C585	#8D501C
orange.350	#FABE79	#9C5920
orange.375	#FAB66E	#AC6324
orange.400	#FBAF62	#BC6C28
orange.425	#FBA757	#CC762D
orange.450	#FB9F4B	#DC8030
orange.475	#FC9840	#EB8A35
orange.500	#FC8F33	#FC9439
orange.525	#F5882F	#FC963F
orange.550	#EE802A	#FC9843
orange.575	#E67926	#FC9947
orange.600	#DF7222	#FC9B4C
orange.625	#D86A1E	#FC9C4F
orange.650	#D1631A	#FC9E54
orange.675	#C95C15	#FC9F58
orange.700	#C25511	#FDA15B
orange.725	#A84F1E	#F8AB73
orange.750	#944519	#F9B481
orange.775	#803B14	#F9BB8E
orange.800	#6C300F	#FAC39B
orange.810	#652D0E	#FAC69F
orange.820	#5D290C	#FAC9A5
orange.825	#5A270B	#FACBA8
orange.830	#56250A	#FACCAA
orange.840	#4E2108	#FBCFAF
orange.850	#481E07	#FBD2B4
orange.860	#401A06	#FBD5B9
orange.870	#391604	#FBD8BE
orange.875	#361404	#FCDAC1
orange.880	#331304	#FCDBC3
orange.890	#2C1003	#FCDEC8
orange.900	#250D02	#FCE1CD
orange.910	#1F0902	#FCE4D2
orange.920	#190601	#FDE8D7
orange.925	#160501	#FDE9DA
orange.930	#130501	#FDEBDC
orange.940	#0D0200	#FDEDE1
orange.950	#080100	#FEF0E6
orange.960	#040100	#FEF3EB
orange.970	#020000	#FEF6F0
orange.975	#010000	#FEF7F3
orange.980	#010000	#FEF9F5
orange.990	#000000	#FFFCFA
orange.1000	#000000	#FFFFFF
