Token	Light	Dark
pink.0	#FFFFFF	#000000
pink.10	#FFFDFE	#000000
pink.20	#FEFBFC	#000000
pink.25	#FEFAFB	#000000
pink.30	#FDF9FB	#010000
pink.40	#FDF7F9	#010000
pink.50	#FDF5F8	#020000
pink.60	#FCF0F5	#050101
pink.70	#FBEDF2	#070101
pink.75	#FAEBF0	#080102
pink.80	#FAE8EF	#0A0203
pink.90	#F9E5EB	#0F0303
pink.100	#F8E0E8	#120305
pink.110	#F7DDE6	#170406
pink.120	#F6DAE4	#1A0608
pink.125	#F6D8E3	#1D0609
pink.130	#F6D6E1	#1F070A
pink.140	#F5D3DF	#23090C
pink.150	#F4D0DC	#280A0E
pink.160	#F4CDD9	#2C0D11
pink.170	#F3C9D7	#310F13
pink.175	#F3C8D6	#320F14
pink.180	#F2C6D4	#351116
pink.190	#F2C3D1	#391319
pink.200	#F1BFCE	#3F151B
pink.225	#F9B2C7	#51121E
pink.250	#F9AABF	#5F1725
pink.275	#F8A0B8	#6C1B2B
pink.300	#F896AF	#7B1F32
pink.325	#F88DA6	#8A2438
pink.350	#F8839D	#98283F
pink.375	#F87994	#A82C45
pink.400	#F86E8A	#B8314B
pink.425	#F86380	#C83553
pink.450	#F85775	#D8395A
pink.475	#F94A6B	#E83E61
pink.500	#F93A5F	#F94268
pink.525	#F5395E	#F84E77
pink.550	#F2385D	#F85984
pink.575	#EE375D	#F76391
pink.600	#EA365C	#F76D9D
pink.625	#E7365B	#F777A8
pink.650	#E3355A	#F67FB2
pink.675	#E03459	#F688BC
pink.700	#DC3359	#F691C6
pink.725	#BE3852	#F29DC9
pink.750	#A73046	#F3A7CE
pink.775	#90283C	#F4B0D3
pink.800	#7B2132	#F5B8D7
pink.810	#721E2E	#F5BCD9
pink.820	#691B2A	#F6BFDB
pink.825	#661A28	#F6C1DC
pink.830	#611826	#F6C3DD
pink.840	#5A1522	#F7C6DF
pink.850	#51121E	#F7CAE1
pink.860	#49101B	#F8CEE3
pink.870	#420E17	#F8D1E5
pink.875	#3E0C15	#F8D3E6
pink.880	#3A0A14	#F9D4E7
pink.890	#330810	#F9D8E9
pink.900	#2B060D	#FADCEB
pink.910	#24050A	#FADFED
pink.920	#1D0307	#FBE3EF
pink.925	#1A0206	#FBE5F0
pink.930	#170204	#FBE6F1
pink.940	#110103	#FCEAF3
pink.950	#0A0102	#FCEDF5
pink.960	#050001	#FDF1F7
pink.970	#020000	#FDF5F9
pink.975	#020000	#FEF7FA
pink.980	#010000	#FEF8FB
pink.990	#000000	#FEFBFD
pink.1000	#000000	#FFFFFF
