Token	Light	Dark
purple.0	#FFFFFF	#000000
purple.10	#FEFDFF	#000000
purple.20	#FCFBFE	#000000
purple.25	#FBFAFE	#000000
purple.30	#FBF9FE	#010001
purple.40	#FAF8FD	#010001
purple.50	#F9F6FD	#010002
purple.60	#F6F2FC	#030104
purple.70	#F4EFFC	#040106
purple.75	#F3EEFB	#060108
purple.80	#F1ECFB	#07010A
purple.90	#EFE9FA	#0A030E
purple.100	#EDE5F9	#0E0311
purple.110	#EBE2F9	#110416
purple.120	#E9DFF8	#150619
purple.125	#E7DDF8	#17071B
purple.130	#E7DBF7	#18071E
purple.140	#E6D9F7	#1C0822
purple.150	#E3D5F6	#200B26
purple.160	#E1D2F6	#240D2B
purple.170	#E0CFF5	#280F2E
purple.175	#DFCDF5	#2A1031
purple.180	#DECCF4	#2C1133
purple.190	#DDC8F4	#301338
purple.200	#DBC5F3	#34163C
purple.225	#DAB9FB	#43134F
purple.250	#D8AFFA	#4E185D
purple.275	#D4A7F8	#5A1C6A
purple.300	#D29CF7	#662178
purple.325	#CF93F5	#732687
purple.350	#CD89F4	#7F2A96
purple.375	#CB7EF1	#8D2EA5
purple.400	#CA74EF	#9933B5
purple.425	#C768ED	#A737C4
purple.450	#C55CE9	#B43CD4
purple.475	#C34FE6	#C340E4
purple.500	#C13FE3	#D144F5
purple.525	#BE40DE	#D252F6
purple.550	#BA40D9	#D45DF7
purple.575	#B741D6	#D668F8
purple.600	#B341D1	#D872F9
purple.625	#AF41CC	#DA7BFA
purple.650	#AC41C8	#DB84FA
purple.675	#A841C4	#DD8DFC
purple.700	#A541C0	#DF95FC
purple.725	#8F40A5	#DFA2F7
purple.750	#7D3791	#E2AAF8
purple.775	#6C2F7D	#E6B3F8
purple.800	#5B266A	#E9BCF9
purple.810	#542363	#E9BFF9
purple.820	#4E205B	#EBC3FA
purple.825	#4B1E57	#EBC4FA
purple.830	#481D54	#ECC6FA
purple.840	#421A4D	#EDC9FA
purple.850	#3C1745	#EECDFA
purple.860	#35143F	#EFD0FB
purple.870	#301138	#F1D3FB
purple.875	#2D0F35	#F1D5FB
purple.880	#290D31	#F1D7FB
purple.890	#240B2B	#F3DAFC
purple.900	#1E0825	#F4DDFC
purple.910	#19061E	#F5E1FC
purple.920	#130418	#F6E4FD
purple.925	#110315	#F7E6FD
purple.930	#0F0313	#F7E7FD
purple.940	#09020D	#F9EBFD
purple.950	#060107	#FAEEFE
purple.960	#020004	#FBF1FE
purple.970	#010002	#FCF5FE
purple.975	#010001	#FCF7FE
purple.980	#000001	#FDF9FE
purple.990	#000000	#FEFBFF
purple.1000	#000000	#FFFFFF
