Token	Light	Dark
red.0	#FFFFFF	#000000
red.10	#FFFEFE	#000000
red.20	#FFFEFD	#000000
red.25	#FFFDFD	#000000
red.30	#FFFDFD	#010000
red.40	#FFFDFC	#020000
red.50	#FFFCFB	#030000
red.60	#FEFBFA	#050000
red.70	#FEF9F8	#080001
red.75	#FEF9F8	#0A0201
red.80	#FEF8F7	#0B0201
red.90	#FEF6F6	#100202
red.100	#FEF5F5	#140203
red.110	#FDF2F0	#180403
red.120	#FDEEEC	#1C0404
red.125	#FCECEA	#1F0605
red.130	#FCEAE8	#210605
red.140	#FCE6E4	#260706
red.150	#FBE2E0	#2A0908
red.160	#FBDFDB	#2F0B0A
red.170	#FADBD8	#340D0C
red.175	#FAD9D5	#360E0C
red.180	#FAD7D3	#380F0E
red.190	#F9D3CF	#3D1110
red.200	#F9D0CB	#431311
red.225	#FDC3BD	#541112
red.250	#FDB9B2	#611717
red.275	#FDAEA7	#6F1B1B
red.300	#FDA49D	#7E1F20
red.325	#FD9A91	#8D2524
red.350	#FC8F86	#9C292A
red.375	#FC837B	#AB2E2F
red.400	#FC7870	#BB3434
red.425	#FC6B65	#CB3839
red.450	#FC5E59	#DB3E3E
red.475	#FB504D	#EB4344
red.500	#FB4041	#FB4849
red.525	#F83C3F	#FB4C4D
red.550	#F5393D	#FB5051
red.575	#F3363B	#FC5455
red.600	#F0323A	#FC5859
red.625	#ED2F38	#FC5A5D
red.650	#EA2B36	#FC5E61
red.675	#E82734	#FC6264
red.700	#E52332	#FC6568
red.725	#C62E33	#F67979
red.750	#AE272C	#F68684
red.775	#972024	#F79390
red.800	#811A1E	#F8A09C
red.810	#78181B	#F8A4A1
red.820	#6E1518	#F8A9A6
red.825	#6B1417	#F8ACA8
red.830	#661215	#F9AEAB
red.840	#5E1113	#F9B3AF
red.850	#550E11	#F9B8B4
red.860	#4D0C0E	#FABDB9
red.870	#450A0B	#FAC1BE
red.875	#41090A	#FAC3C1
red.880	#3E080A	#FAC6C3
red.890	#350507	#FBCBC8
red.900	#2E0405	#FBD0CD
red.910	#270304	#FBD5D2
red.920	#1F0203	#FCD9D7
red.925	#1C0102	#FCDBD9
red.930	#180102	#FCDEDB
red.940	#120101	#FDE3E0
red.950	#0B0000	#FDE8E6
red.960	#050000	#FDECEB
red.970	#030000	#FEF0F0
red.975	#020000	#FEF3F2
red.980	#010000	#FEF5F4
red.990	#000000	#FFFAFA
red.1000	#000000	#FFFFFF
