Token	Light	Dark
teal.0	#FFFFFF	#000000
teal.10	#FDFEFF	#000000
teal.20	#FBFEFE	#000000
teal.25	#FAFEFE	#000000
teal.30	#F8FDFD	#000001
teal.40	#F7FCFD	#000101
teal.50	#F4FBFC	#000202
teal.60	#F0FAFB	#010404
teal.70	#ECF8FA	#010606
teal.75	#EAF7FA	#020607
teal.80	#E7F6F9	#020809
teal.90	#E3F4F8	#030B0D
teal.100	#DFF3F7	#040F11
teal.110	#DCF2F6	#051315
teal.120	#D9F1F5	#071719
teal.125	#D8F0F5	#07191B
teal.130	#D6EEF4	#081B1D
teal.140	#D4EDF3	#0A1E21
teal.150	#D0ECF2	#0D2225
teal.160	#CEEBF1	#0F2629
teal.170	#CBE9F0	#112A2E
teal.175	#C9E9EF	#122C30
teal.180	#C7E8EF	#132E32
teal.190	#C5E7EE	#163337
teal.200	#C2E5ED	#18373B
teal.225	#B1E4EE	#10444A
teal.250	#A8E0EC	#134F56
teal.275	#9FDDE9	#175B63
teal.300	#95DAE7	#1A6670
teal.325	#8CD7E5	#1E737E
teal.350	#82D4E2	#217F8B
teal.375	#77D1DF	#248C99
teal.400	#6CCEDD	#2799A7
teal.425	#5FCBDB	#2AA7B6
teal.450	#52C7D8	#2CB4C5
teal.475	#42C4D5	#2EC2D3
teal.500	#2CC1D3	#31D0E3
teal.525	#2DB8CB	#38D1E4
teal.550	#2EB0C4	#3ED2E5
teal.575	#2EA8BD	#44D3E7
teal.600	#2D9FB5	#49D4E7
teal.625	#2D97AE	#4ED6E9
teal.650	#2C8FA5	#52D7EA
teal.675	#2B879E	#57D9EB
teal.700	#297F96	#5BDAEC
teal.725	#2E6F83	#7ADBEB
teal.750	#276272	#88DFEC
teal.775	#215463	#95E2EE
teal.800	#1A4653	#A2E5F0
teal.810	#18414D	#A7E6F1
teal.820	#153C48	#ADE9F2
teal.825	#143945	#AFE9F2
teal.830	#133742	#B2EAF3
teal.840	#10323C	#B6EBF3
teal.850	#0E2D36	#BBECF4
teal.860	#0C2830	#C0EDF5
teal.870	#09232A	#C4EEF5
teal.875	#082128	#C7F0F6
teal.880	#071E25	#C9F0F6
teal.890	#061A20	#CEF2F7
teal.900	#04151B	#D2F3F8
teal.910	#031116	#D7F4F9
teal.920	#020C11	#DBF5F9
teal.925	#020A0E	#DEF5FA
teal.930	#01090C	#E0F7FA
teal.940	#010608	#E4F8FA
teal.950	#010305	#E9F9FB
teal.960	#000202	#EEFAFC
teal.970	#000101	#F2FBFD
teal.975	#000001	#F4FBFD
teal.980	#000000	#F6FDFE
teal.990	#000000	#FBFEFE
teal.1000	#000000	#FFFFFF
