Token	Light	Dark
yellow.0	#FFFFFF	#000000
yellow.10	#FFFEFC	#000000
yellow.20	#FFFDF9	#000000
yellow.25	#FFFDF7	#000000
yellow.30	#FEFCF6	#010000
yellow.40	#FEFBF3	#020100
yellow.50	#FEFAF0	#030200
yellow.60	#FEFAED	#060401
yellow.70	#FEF9E9	#080601
yellow.75	#FEF8E8	#0A0701
yellow.80	#FEF8E7	#0C0901
yellow.90	#FEF7E3	#110D02
yellow.100	#FDF6E1	#151002
yellow.110	#FDF5DD	#1A1403
yellow.120	#FDF4DB	#1E1804
yellow.125	#FDF3D9	#211A05
yellow.130	#FDF3D7	#231C05
yellow.140	#FDF2D4	#282007
yellow.150	#FDF1D1	#2C2509
yellow.160	#FCF0CE	#31290A
yellow.170	#FCEFCB	#362D0C
yellow.175	#FCEFCA	#382F0D
yellow.180	#FCEEC8	#3B320E
yellow.190	#FCEDC5	#403610
yellow.200	#FCECC1	#463B12
yellow.225	#FEEAB1	#544606
yellow.250	#FEE7A7	#625208
yellow.275	#FEE49D	#705E0B
yellow.300	#FEE294	#7F6A0E
yellow.325	#FEDF8A	#8E7711
yellow.350	#FEDD7F	#9D8414
yellow.375	#FEDA75	#AD9117
yellow.400	#FED769	#BD9E1A
yellow.425	#FDD45C	#CDAC1D
yellow.450	#FDD24D	#DDBA20
yellow.475	#FDCF3D	#EDC823
yellow.500	#FDCD25	#FDD627
yellow.525	#F2C022	#FDD72D
yellow.550	#E7B320	#FED833
yellow.575	#DBA61D	#FED939
yellow.600	#D09A1A	#FDDB3E
yellow.625	#C48D18	#FDDC42
yellow.650	#B88215	#FDDD46
yellow.675	#AB7613	#FDDE4A
yellow.700	#9F6B10	#FDDF4E
yellow.725	#8B601D	#FAE272
yellow.750	#795418	#FBE582
yellow.775	#694714	#FBE890
yellow.800	#583B0F	#FBEB9E
yellow.810	#52370D	#FCECA3
yellow.820	#4C320B	#FCEDA8
yellow.825	#49300A	#FCEEAB
yellow.830	#462E0A	#FCEEAE
yellow.840	#402A08	#FCEFB3
yellow.850	#3A2507	#FCF0B7
yellow.860	#332105	#FCF1BD
yellow.870	#2E1D04	#FCF2C2
yellow.875	#2B1B04	#FCF3C4
yellow.880	#281903	#FDF3C6
yellow.890	#231503	#FDF4CC
yellow.900	#1D1102	#FDF5D0
yellow.910	#180D01	#FDF6D5
yellow.920	#130901	#FEF7DA
yellow.925	#100701	#FEF8DC
yellow.930	#0D0601	#FEF8DE
yellow.940	#080400	#FEF9E3
yellow.950	#050200	#FEFAE7
yellow.960	#030100	#FEFBED
yellow.970	#010000	#FFFCF1
yellow.975	#010000	#FFFDF3
yellow.980	#000000	#FFFDF6
yellow.990	#000000	#FFFEFA
yellow.1000	#000000	#FFFFFF
